,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
371,HYMETTUS WOODS,137.0,14.0,578967.0,141.0,19.0,569795.0,174.203,24.0,717703.0,179.0,29.0,765623.0,176.0,34.0,794587.0,16.0,21.0,26.0,31.0,36.0
372,INDIAN HILLS,79.0,26.0,129441.0,79.0,31.0,129457.0,116.25399999999999,36.0,191871.5,118.5,41.0,196207.5,158.0,46.0,261334.0,27.0,32.0,37.0,42.0,47.0
373,INMAN PARK,124.5,1.0,75000.0,116.0,4.0,346620.0,160.75599999999997,9.0,512926.5,154.0,14.0,513179.5,173.0,19.0,564904.0,1.0,6.0,11.0,16.0,21.0
374,INVERRARY,103.0,17.0,425452.0,101.0,22.0,427275.0,155.877,28.0,658893.0,150.0,33.0,654810.0,148.0,37.0,679586.0,23.0,28.0,33.0,38.0,43.0
375,ISLE FOREST,75.0,42.0,120645.0,72.0,47.0,114556.5,88.459,52.0,139872.0,90.0,57.0,147687.0,118.0,61.0,206326.0,42.0,47.0,52.0,57.0,62.0
376,J J LYNN,99.5,26.5,138753.0,94.5,23.5,153714.0,134.245,28.5,217290.5,112.0,33.5,187176.0,201.0,2.0,679454.5,20.0,25.0,30.0,35.0,40.0
377,J M AMMONS,116.0,30.5,238877.5,116.0,35.5,237713.0,173.12599999999998,40.5,359595.5,184.0,45.0,398053.0,228.0,50.0,578967.0,31.0,36.0,41.0,46.0,51.0
378,J W BELCH,52.0,18.0,185178.0,52.0,23.0,185178.0,70.495,28.0,248570.5,69.0,33.0,244593.5,92.0,38.0,326509.0,19.0,24.0,29.0,34.0,39.0
379,J W STRICKLAND,74.0,26.0,143696.0,74.0,31.0,143696.0,108.031,36.0,236336.5,107.5,41.0,236579.5,130.5,46.0,280482.0,17.0,22.0,27.0,32.0,37.0
380,J W YORK,85.0,34.0,204694.0,73.5,39.0,180655.0,102.5025,44.0,250040.0,99.0,49.0,242499.5,122.5,54.0,302273.5,34.0,39.0,44.0,49.0,54.0
381,JACOBS RESERVE,89.0,45.0,127534.0,90.0,50.0,129117.0,226.655,55.0,324570.0,void,0.0,342567.5,198.0,5.0,729333.5,void,void,void,2.0,7.0
382,JADE TREE,84.5,19.0,214026.0,84.5,24.0,218366.5,115.9235,31.0,308851.0,118.5,34.0,322601.0,146.0,41.0,402063.0,22.0,27.0,32.0,37.0,42.0
